dataset,dt_mode,lr,eff_bs,phys_bs,accum,cell_idx,exit_code,wall_sec,output_dir
imm_ilinet,replace,1e-4,32,32,1,3,0,33,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-1e-4_ebs-32/seed1
imm_ilinet,replace,5e-4,8,8,1,4,0,36,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-5e-4_ebs-8/seed1
imm_ilinet,replace,5e-4,16,16,1,5,0,23,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-5e-4_ebs-16/seed1
imm_ilinet,replace,5e-4,32,32,1,6,0,53,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-5e-4_ebs-32/seed1
imm_ilinet,replace,2e-3,8,8,1,7,0,24,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-2e-3_ebs-8/seed1
imm_ilinet,replace,2e-3,16,16,1,8,0,25,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-2e-3_ebs-16/seed1
imm_ilinet,replace,2e-3,32,32,1,9,0,31,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-2e-3_ebs-32/seed1
imm_ilinet,learned,1e-4,8,8,1,10,0,38,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-8/seed1
imm_ilinet,learned,1e-4,16,16,1,11,0,24,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-16/seed1
imm_ilinet,learned,1e-4,32,32,1,12,0,31,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-1e-4_ebs-32/seed1
imm_ilinet,learned,5e-4,8,8,1,13,0,36,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-8/seed1
imm_ilinet,learned,5e-4,16,16,1,14,0,36,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-16/seed1
imm_ilinet,learned,5e-4,32,32,1,15,0,24,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/learned/lr-5e-4_ebs-32/seed1
